10,0.00398,0.00358,0.00550,0.02726,0.00693,0.03109,0.01301,0.02132
20,0.00605,0.00597,0.00866,0.04755,0.01038,0.05828,0.02196,0.02255
30,0.00989,0.00724,0.01352,0.06599,0.01413,0.06843,0.02326,0.03168
40,0.01176,0.00863,0.01663,0.08902,0.01729,0.08425,0.02959,0.03189
50,0.01416,0.00923,0.02131,0.11492,0.02022,0.09056,0.03561,0.03591
60,0.01948,0.01143,0.02615,0.13535,0.02490,0.08993,0.04253,0.04162
70,0.02120,0.01234,0.02940,0.15943,0.02911,0.09897,0.04186,0.04732
80,0.02268,0.01309,0.03224,0.17839,0.03073,0.09097,0.04276,0.04769
90,0.02723,0.01452,0.03880,0.19381,0.03509,0.10060,0.04393,0.04845
100,0.02931,0.01416,0.04192,0.22112,0.03821,0.09818,0.05008,0.04917
